"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"1","DAL","OKC","Forward",1881,1,8,1,3,3,4,1,1,1,0,1,2,4,6,-10,"NoRookie","Lose"
"2","DAL","OKC","Center",1752,3,5,0,1,5,6,2,2,2,2,1,0,1,11,-10,"NoRookie","Lose"
"3","DAL","OKC","Not Started",665,2,4,0,1,0,0,2,4,1,0,0,1,2,4,8,"NoRookie","Lose"
"4","DAL","OKC","Not Started",1583,3,13,3,10,0,0,2,2,1,1,1,0,5,9,-4,"NoRookie","Lose"
"5","DAL","OKC","Not Started",1019,2,8,2,6,2,2,0,4,2,1,0,0,0,8,3,"NoRookie","Lose"
"6","DAL","OKC","Not Started",1579,2,7,1,2,2,3,1,2,2,0,1,3,3,7,2,"NoRookie","Lose"
"9","OKC","DAL","Forward",1050,0,3,0,3,0,0,1,0,0,0,0,0,5,0,-3,"NoRookie","Win"
"10","OKC","DAL","Forward",1865,8,14,3,8,1,2,0,3,2,1,0,2,0,20,15,"NoRookie","Win"
"11","OKC","DAL","Center",1510,4,7,0,0,2,4,4,7,2,1,0,1,5,10,3,"NoRookie","Win"
"12","OKC","DAL","Guard",2139,7,15,1,2,2,2,1,7,7,1,0,4,2,17,17,"NoRookie","Win"
"13","OKC","DAL","Not Started",1370,5,9,0,0,2,4,8,4,0,1,2,0,1,12,2,"NoRookie","Win"
"14","OKC","DAL","Not Started",1869,7,17,2,7,4,4,2,5,4,0,0,3,2,20,5,"NoRookie","Win"
"15","OKC","DAL","Not Started",472,1,2,0,1,0,0,0,0,0,0,1,0,0,2,-3,"NoRookie","Win"
"17","DAL","OKC","Forward",2116,5,10,4,9,0,0,6,8,2,0,0,1,3,14,-8,"Rookie","Lose"
"18","DAL","OKC","Guard",1391,3,9,1,3,0,0,1,1,1,0,0,1,3,7,-7,"Rookie","Lose"
"19","DAL","OKC","Guard",2414,12,29,3,16,8,12,2,8,7,1,0,2,3,35,1,"Rookie","Lose"
"20","OKC","DAL","Guard",2111,6,15,0,2,7,8,2,8,3,2,1,0,1,19,4,"Rookie","Win"
"21","OKC","DAL","Not Started",1155,1,4,0,1,2,2,0,1,0,1,0,0,2,4,-6,"Rookie","Win"
"22","OKC","DAL","Not Started",739,0,5,0,3,2,2,0,3,0,0,1,1,1,2,-15,"Rookie","Win"
"23","OKC","DAL","Not Started",120,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,"Rookie","Win"
"24","GSW","SAS","Forward",2373,10,17,3,5,2,2,0,3,3,0,1,2,3,25,-3,"NoRookie","Lose"
"25","GSW","SAS","Forward",2148,4,11,2,6,0,0,0,10,9,1,1,2,2,10,0,"NoRookie","Lose"
"26","GSW","SAS","Center",2037,3,6,0,0,1,2,5,6,5,1,1,3,3,7,-1,"NoRookie","Lose"
"27","GSW","SAS","Guard",2373,8,13,2,3,2,2,1,6,2,0,0,0,0,20,-1,"NoRookie","Lose"
"28","GSW","SAS","Guard",2294,9,20,4,5,6,9,1,3,4,1,1,0,0,28,2,"NoRookie","Lose"
"30","SAS","GSW","Forward",2250,11,18,0,0,2,4,1,4,4,3,0,1,2,24,-4,"NoRookie","Win"
"31","SAS","GSW","Forward",2253,7,13,1,3,2,2,2,10,4,0,3,1,1,17,9,"NoRookie","Win"
"32","SAS","GSW","Center",902,1,5,0,1,3,3,0,3,1,0,0,0,1,5,2,"NoRookie","Win"
"33","SAS","GSW","Guard",1888,5,13,4,7,0,0,0,3,1,0,0,3,2,14,-6,"NoRookie","Win"
"34","SAS","GSW","Guard",1623,6,12,1,1,2,2,2,4,5,2,0,0,3,15,-7,"NoRookie","Win"
"35","SAS","GSW","Not Started",1959,6,14,5,11,1,2,1,3,4,1,0,0,3,18,19,"NoRookie","Win"
"36","SAS","GSW","Not Started",1154,1,3,0,2,1,2,1,3,2,0,0,2,1,3,1,"NoRookie","Win"
"37","SAS","GSW","Not Started",922,2,3,0,0,0,0,2,5,4,0,1,0,1,4,-5,"NoRookie","Win"
"38","SAS","GSW","Not Started",1578,2,7,1,2,2,2,0,6,4,0,1,1,0,7,9,"NoRookie","Win"
"39","SAS","GSW","Not Started",709,1,2,1,2,0,0,0,0,1,0,0,2,0,3,-1,"NoRookie","Win"
"41","GSW","SAS","Not Started",1267,4,9,0,2,1,1,1,2,3,1,0,0,1,9,1,"Rookie","Lose"
"42","GSW","SAS","Not Started",704,2,6,0,1,0,1,0,1,1,1,0,0,1,4,-3,"Rookie","Lose"
"43","GSW","SAS","Not Started",1068,1,4,0,1,1,1,0,0,3,0,0,1,1,3,-7,"Rookie","Lose"
"44","GSW","SAS","Not Started",612,3,6,1,2,0,0,1,2,1,0,1,0,2,7,-3,"Rookie","Lose"
"45","GSW","SAS","Not Started",1025,0,4,0,2,0,0,0,2,0,0,1,0,1,0,-5,"Rookie","Lose"
"46","SAS","GSW","Not Started",664,3,6,1,2,0,0,1,2,0,0,1,0,4,7,3,"Rookie","Win"
"48","DEN","HOU","Forward",1598,6,13,1,3,0,0,7,2,3,1,2,1,3,13,-4,"NoRookie","Lose"
"49","DEN","HOU","Center",1919,10,17,0,1,1,1,2,6,4,0,0,6,2,21,-5,"NoRookie","Lose"
"50","DEN","HOU","Guard",2229,5,16,0,3,0,1,2,7,7,1,2,1,4,10,-7,"NoRookie","Lose"
"51","DEN","HOU","Guard",1817,5,14,2,4,0,0,0,0,6,1,0,2,3,12,-9,"NoRookie","Lose"
"52","DEN","HOU","Not Started",1057,2,4,0,0,0,0,1,1,0,0,1,1,0,4,-15,"NoRookie","Lose"
"53","DEN","HOU","Not Started",1392,8,12,1,3,1,1,1,2,4,3,0,0,0,18,-24,"NoRookie","Lose"
"54","DEN","HOU","Not Started",1176,3,5,2,4,2,2,0,2,0,1,0,1,1,10,-25,"NoRookie","Lose"
"55","DEN","HOU","Not Started",736,1,5,0,0,2,4,0,0,1,0,0,2,1,4,-14,"NoRookie","Lose"
"56","DEN","HOU","Not Started",225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,"NoRookie","Lose"
"57","DEN","HOU","Not Started",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"NoRookie","Lose"
